Roll No,CPI,Attn Bonus,A30,A20,B30,B20,C30,C20,D30,D20,E30,E20,F30,F20,S20,S80
58,8.56,15,21,12,25,17,23,16,30,20,28,19,26,18,17,68
59,8.56,16,24,14,24,16,26,18,26,18,26,18,26,18,18,70
60,8.56,16,26,16,24,17,25,18,24,17,29,20,26,18,18,70
61,8.52,16,25,14,20,14,24,16,19,13,24,16,24,16,16,64
62,8.49,16,25,15,25,18,25,18,25,18,27,19,26,18,18,70
63,8.48,16,25,15,23,16,26,18,25,17,27,18,27,18,18,69
64,8.47,15,26,15,22,15,27,18,30,20,26,18,27,18,18,72
65,8.47,12,27,17,27,18,26,18,27,18,27,18,27,18,18,72
66,8.46,16,22,12,21,14,25,18,25,18,24,16,24,16,16,70
67,8.44,16,16,10,18,12,20,14,17,12,23,16,22,15,13,65
68,8.44,14,20,11,21,14,20,14,25,17,25,17,23,16,15,60
69,8.41,16,17,10,24,16,24,16,24,16,23,16,23,16,15,65
70,8.41,16,22,12,22,15,23,16,23,16,24,16,24,16,16,68
71,8.4,11,22,12,28,19,18,12,26,18,23,16,24,16,16,64
72,8.39,14,23,13,27,18,23,16,29,20,21,14,25,17,17,68
73,8.39,16,29,18,21,14,25,18,25,18,27,19,27,19,18,70
74,8.39,15,21,12,24,17,23,16,29,20,27,19,25,18,17,66
75,8.37,16,19,10,23,16,23,16,26,18,26,18,26,18,16,65
76,8.35,16,25,14,19,13,25,17,23,16,26,18,29,20,17,72
77,8.35,16,24,14,20,14,24,16,19,13,24,16,24,16,16,62
78,8.34,16,18,10,22,15,20,14,18,13,22,15,24,17,15,58
79,8.34,9,24,14,22,15,18,13,27,18,25,17,24,17,16,62
80,8.34,16,26,15,27,18,30,20,30,20,30,20,30,20,20,79
81,8.34,14,21,12,19,13,20,14,24,16,20,14,21,14,14,56
82,8.33,16,21,12,20,14,22,15,27,18,27,18,27,18,17,65
83,8.33,16,27,18,27,18,27,18,27,18,25,17,27,18,18,72
84,8.3,15,25,15,22,15,26,18,29,20,25,18,26,18,18,70
85,8.27,16,16,10,18,12,20,14,17,12,23,16,22,15,13,63
86,8.27,14,20,11,21,14,20,14,24,17,24,17,23,16,15,58
87,8.26,9,17,10,18,12,16,11,16,11,21,14,18,12,12,48
88,8.25,15,24,14,19,13,21,14,25,17,25,17,25,17,16,65
89,8.24,16,22,13,22,15,23,16,23,16,23,16,23,16,16,65
90,8.24,16,17,10,24,16,24,16,24,16,23,16,23,16,15,63
91,8.24,16,27,17,27,18,27,18,27,18,27,18,27,18,18,72
92,8.23,11,22,12,27,19,18,12,25,18,23,16,24,16,16,62
93,8.22,14,23,13,26,18,23,16,28,20,21,14,24,17,17,66
94,8.22,15,24,14,23,16,24,16,24,16,26,18,27,18,17,72
95,8.2,16,19,10,23,16,23,16,25,18,25,18,25,18,16,63
96,8.2,15,22,12,19,13,19,13,18,12,18,12,22,15,14,68
97,8.18,16,24,14,19,13,24,17,23,16,25,18,28,20,17,70
98,8.18,14,26,15,27,18,27,18,27,18,26,18,27,18,18,69
99,8.18,16,27,17,27,18,26,18,27,18,27,18,27,18,18,72
100,8.18,15,30,18,30,20,30,20,30,20,30,20,30,20,20,79
101,8.18,15,17,10,18,12,21,14,16,11,24,16,24,16,14,60
102,8.17,16,25,15,26,18,29,20,29,20,29,20,29,20,20,76
103,8.17,14,21,12,19,13,20,14,24,16,20,14,21,14,14,54
104,8.14,12,20,11,20,14,16,11,23,16,20,14,20,14,14,56
105,8.12,15,23,13,24,16,24,16,22,15,24,16,24,16,16,64
106,8.12,15,24,14,17,12,24,16,24,16,28,19,24,16,16,65
107,8.09,9,17,10,18,12,16,11,16,11,21,14,18,12,12,47
108,8.09,15,24,14,19,13,21,14,24,17,24,17,24,17,16,63
109,8.08,16,27,17,27,18,27,18,27,18,27,18,27,18,18,72
110,8.06,14,23,13,27,18,22,15,27,18,21,15,25,17,17,65
111,8.06,15,18,10,17,12,23,16,22,15,23,16,23,16,14,65
112,8.06,15,24,14,23,16,24,16,24,16,25,18,26,18,17,70
113,8.05,15,24,14,22,15,22,15,24,16,24,16,23,16,16,65
114,8.05,15,27,16,25,17,26,18,26,18,29,20,26,18,18,72
115,8.04,15,29,17,25,17,28,19,28,19,30,20,29,20,19,76
116,8.04,15,22,12,19,13,19,13,18,12,18,12,22,15,14,66
117,8.02,15,16,10,26,18,24,16,25,17,20,14,23,16,15,60
